	Timestamp	Steps	Score	Env no.
 2019-05-26 00:11:23	3441120	  -21.0	1
 2019-05-26 00:11:51	3458272	  -21.0	1
 2019-05-26 00:12:21	3475440	  -20.0	1
 2019-05-26 00:12:44	3489056	  -21.0	1
 2019-05-26 00:13:07	3502496	  -21.0	1
 2019-05-26 00:13:39	3521120	  -19.0	1
 2019-05-26 00:14:09	3539072	  -20.0	1
 2019-05-26 00:14:30	3551472	  -21.0	1
 2019-05-26 00:14:55	3565648	  -20.0	1
 2019-05-26 00:15:29	3585008	  -19.0	1
 2019-05-26 00:15:55	3600512	  -19.0	1
 2019-05-26 00:16:20	3615744	  -21.0	1
 2019-05-26 00:16:48	3631680	  -20.0	1
 2019-05-26 00:17:15	3647776	  -19.0	1
 2019-05-26 00:17:38	3661568	  -20.0	1
 2019-05-26 00:18:02	3675648	  -21.0	1
 2019-05-26 00:18:26	3689584	  -20.0	1
 2019-05-26 00:18:52	3704448	  -20.0	1
 2019-05-26 00:19:14	3717568	  -21.0	1
 2019-05-26 00:19:39	3732352	  -20.0	1
 2019-05-26 00:20:02	3745872	  -21.0	1
 2019-05-26 00:20:30	3762288	  -19.0	1
 2019-05-26 00:20:54	3776608	  -20.0	1
 2019-05-26 00:21:22	3793312	  -20.0	1
 2019-05-26 00:21:51	3808448	  -20.0	1
 2019-05-26 00:22:26	3827344	  -20.0	1
 2019-05-26 00:22:53	3843376	  -21.0	1
 2019-05-26 00:23:19	3858432	  -20.0	1
 2019-05-26 00:23:51	3877568	  -20.0	1
 2019-05-26 00:24:18	3893312	  -20.0	1
 2019-05-26 00:24:43	3907632	  -20.0	1
 2019-05-26 00:25:16	3926896	  -18.0	1
 2019-05-26 00:25:43	3943152	  -20.0	1
 2019-05-26 00:26:09	3957984	  -20.0	1
 2019-05-26 00:26:34	3972432	  -20.0	1
 2019-05-26 00:27:01	3988112	  -20.0	1
 2019-05-26 00:27:34	4007232	  -17.0	1
 2019-05-26 00:28:09	4027696	  -20.0	1
 2019-05-26 00:28:40	4046016	  -19.0	1
 2019-05-26 00:29:12	4064224	  -20.0	1
 2019-05-26 00:29:45	4083904	  -17.0	1
 2019-05-26 00:30:17	4102016	  -19.0	1
 2019-05-26 00:30:44	4117952	  -21.0	1
 2019-05-26 00:31:14	4135760	  -18.0	1
 2019-05-26 00:31:42	4151968	  -20.0	1
 2019-05-26 00:32:08	4166896	  -21.0	1
 2019-05-26 00:32:36	4182496	  -21.0	1
 2019-05-26 00:33:06	4200512	  -20.0	1
 2019-05-26 00:33:43	4221424	  -19.0	1
 2019-05-26 00:34:08	4235392	  -20.0	1
 2019-05-26 00:34:35	4251152	  -20.0	1
 2019-05-26 00:35:06	4268960	  -19.0	1
 2019-05-26 00:35:35	4285824	  -19.0	1
 2019-05-26 00:36:00	4300544	  -20.0	1
 2019-05-26 00:36:32	4319104	  -20.0	1
 2019-05-26 00:37:08	4339376	  -17.0	1
 2019-05-26 00:37:35	4355088	  -20.0	1
 2019-05-26 00:38:00	4369392	  -20.0	1
 2019-05-26 00:38:37	4390704	  -20.0	1
 2019-05-26 00:39:05	4406592	  -19.0	1
 2019-05-26 00:39:37	4424960	  -20.0	1
 2019-05-26 00:40:05	4441360	  -20.0	1
 2019-05-26 00:40:43	4463328	  -16.0	1
 2019-05-26 00:41:08	4478144	  -20.0	1
 2019-05-26 00:41:34	4493168	  -21.0	1
 2019-05-26 00:41:59	4507504	  -21.0	1
 2019-05-26 00:42:29	4524960	  -20.0	1
 2019-05-26 00:43:07	4546640	  -19.0	1
 2019-05-26 00:43:30	4560736	  -20.0	1
 2019-05-26 00:44:06	4580512	  -20.0	1
 2019-05-26 00:44:32	4595344	  -20.0	1
 2019-05-26 00:45:02	4612672	  -20.0	1
 2019-05-26 00:45:28	4627904	  -20.0	1
 2019-05-26 00:45:57	4644432	  -20.0	1
 2019-05-26 00:46:22	4658768	  -21.0	1
 2019-05-26 00:46:52	4676224	  -20.0	1
 2019-05-26 00:47:22	4693808	  -18.0	1
 2019-05-26 00:47:51	4710832	  -21.0	1
 2019-05-26 00:48:23	4729152	  -19.0	1
 2019-05-26 00:48:54	4747184	  -20.0	1
 2019-05-26 00:49:22	4762464	  -21.0	1
 2019-05-26 00:49:51	4779696	  -19.0	1
 2019-05-26 00:50:21	4796768	  -20.0	1
 2019-05-26 00:50:52	4814528	  -20.0	1
 2019-05-26 00:51:18	4829056	  -20.0	1
 2019-05-26 00:51:43	4843712	  -20.0	1
 2019-05-26 00:52:15	4862208	  -18.0	1
 2019-05-26 00:52:44	4878432	  -20.0	1
 2019-05-26 00:53:12	4894912	  -19.0	1
 2019-05-26 00:53:39	4910272	  -20.0	1
 2019-05-26 00:54:12	4928800	  -18.0	1
 2019-05-26 00:54:38	4943424	  -20.0	1
 2019-05-26 00:55:04	4958800	  -21.0	1
 2019-05-26 00:55:27	4972016	  -21.0	1
 2019-05-26 00:56:06	4994592	  -17.0	1
 2019-05-26 00:56:39	5013632	  -18.0	1
 2019-05-26 00:57:06	5029008	  -20.0	1
 2019-05-26 00:57:42	5049616	  -18.0	1
 2019-05-26 00:58:12	5067184	  -20.0	1
 2019-05-26 00:58:38	5082288	  -20.0	1
 2019-05-26 00:59:08	5099856	  -19.0	1
 2019-05-26 00:59:49	5123104	  -19.0	1
 2019-05-26 01:00:26	5144736	  -19.0	1
 2019-05-26 01:00:56	5161616	  -19.0	1
 2019-05-26 01:01:26	5179168	  -18.0	1
 2019-05-26 01:01:56	5196416	  -21.0	1
 2019-05-26 01:02:25	5212832	  -19.0	1
 2019-05-26 01:02:57	5231680	  -20.0	1
 2019-05-26 01:03:23	5246496	  -21.0	1
 2019-05-26 01:03:55	5265152	  -19.0	1
 2019-05-26 01:04:26	5283264	  -19.0	1
 2019-05-26 01:04:54	5299520	  -21.0	1
 2019-05-26 01:05:26	5318048	  -20.0	1
 2019-05-26 01:05:57	5336032	  -18.0	1
 2019-05-26 01:06:23	5351376	  -20.0	1
 2019-05-26 01:06:59	5371888	  -18.0	1
 2019-05-26 01:07:29	5389520	  -19.0	1
 2019-05-26 01:08:00	5407344	  -19.0	1
 2019-05-26 01:08:34	5426656	  -17.0	1
 2019-05-26 01:09:17	5451776	  -15.0	1
 2019-05-26 01:09:57	5474784	  -20.0	1
 2019-05-26 01:10:34	5496720	  -20.0	1
 2019-05-26 01:11:19	5522640	  -16.0	1
 2019-05-26 01:11:47	5538784	  -19.0	1
 2019-05-26 01:12:26	5561056	  -18.0	1
 2019-05-26 01:13:07	5584736	  -20.0	1
 2019-05-26 01:13:42	5605008	  -19.0	1
 2019-05-26 01:14:19	5625840	  -19.0	1
 2019-05-26 01:15:02	5650624	  -19.0	1
 2019-05-26 01:15:35	5670256	  -20.0	1
 2019-05-26 01:16:12	5691984	  -18.0	1
 2019-05-26 01:16:49	5712816	  -19.0	1
 2019-05-26 01:17:29	5736640	  -16.0	1
 2019-05-26 01:18:13	5761632	  -16.0	1
 2019-05-26 01:18:50	5783328	  -16.0	1
 2019-05-26 01:19:34	5808592	  -17.0	1
 2019-05-26 01:20:12	5830896	  -20.0	1
 2019-05-26 01:20:51	5853312	  -17.0	1
 2019-05-26 01:21:29	5875056	  -17.0	1
 2019-05-26 01:22:06	5896800	  -17.0	1
 2019-05-26 01:22:43	5917968	  -20.0	1
 2019-05-26 01:23:24	5941504	  -17.0	1
 2019-05-26 01:24:10	5967296	  -15.0	1
 2019-05-26 01:24:52	5991504	  -16.0	1
 2019-05-26 01:25:23	6009504	  -20.0	1
 2019-05-26 01:26:11	6036816	  -15.0	1
 2019-05-26 01:26:47	6057856	  -20.0	1
 2019-05-26 01:27:40	6088224	  -18.0	1
 2019-05-26 01:28:30	6117296	  -14.0	1
 2019-05-26 01:29:17	6144720	  -18.0	1
 2019-05-26 01:30:03	6171088	  -17.0	1
 2019-05-26 01:30:37	6190560	  -19.0	1
 2019-05-26 01:31:19	6215136	  -18.0	1
 2019-05-26 01:31:57	6237344	  -18.0	1
 2019-05-26 01:32:39	6261648	  -20.0	1
 2019-05-26 01:33:37	6293744	  -17.0	1
 2019-05-26 01:34:18	6317504	  -18.0	1
 2019-05-26 01:35:13	6348656	  -19.0	1
 2019-05-26 01:35:52	6371440	  -17.0	1
 2019-05-26 01:36:32	6393952	  -17.0	1
 2019-05-26 01:37:19	6421200	  -21.0	1
 2019-05-26 01:37:50	6439584	  -20.0	1
 2019-05-26 01:38:33	6464032	  -19.0	1
 2019-05-26 01:39:09	6484640	  -18.0	1
 2019-05-26 01:39:59	6513440	  -19.0	1
 2019-05-26 01:40:43	6538688	  -18.0	1
 2019-05-26 01:41:28	6564112	  -18.0	1
 2019-05-26 01:42:19	6593680	  -17.0	1
 2019-05-26 01:42:57	6615536	  -20.0	1
 2019-05-26 01:43:43	6641664	  -19.0	1
 2019-05-26 01:44:30	6668944	  -15.0	1
 2019-05-26 01:45:05	6688304	  -21.0	1
 2019-05-26 01:45:49	6713648	  -18.0	1
 2019-05-26 01:46:40	6744000	  -14.0	1
 2019-05-26 01:47:23	6769472	  -17.0	1
 2019-05-26 01:48:11	6797024	  -19.0	1
 2019-05-26 01:48:59	6825120	  -18.0	1
 2019-05-26 01:49:38	6848368	  -20.0	1
 2019-05-26 01:50:23	6874608	  -18.0	1
 2019-05-26 01:51:11	6902848	  -19.0	1
 2019-05-26 01:52:00	6931776	  -18.0	1
 2019-05-26 01:52:55	6963632	  -13.0	1
 2019-05-26 01:53:43	6991888	  -14.0	1
 2019-05-26 01:54:26	7017424	  -17.0	1
 2019-05-26 01:55:09	7041760	  -18.0	1
 2019-05-26 01:55:55	7068368	  -18.0	1
 2019-05-26 01:56:33	7090400	  -20.0	1
 2019-05-26 01:57:20	7117888	  -19.0	1
 2019-05-26 01:58:11	7147536	  -17.0	1
 2019-05-26 01:59:02	7177104	  -15.0	1
 2019-05-26 01:59:54	7207488	  -17.0	1
 2019-05-26 02:00:47	7238448	  -16.0	1
 2019-05-26 02:01:36	7267152	  -16.0	1
 2019-05-26 02:02:39	7302720	  -13.0	1
 2019-05-26 02:03:35	7335520	  -18.0	1
 2019-05-26 02:04:20	7361504	  -19.0	1
 2019-05-26 02:05:07	7388416	  -20.0	1
 2019-05-26 02:05:59	7418752	  -19.0	1
 2019-05-26 02:06:56	7451856	  -16.0	1
 2019-05-26 02:07:48	7482256	  -15.0	1
 2019-05-26 02:08:42	7512992	  -17.0	1
 2019-05-26 02:09:34	7543120	  -16.0	1
 2019-05-26 02:10:26	7572816	  -15.0	1
 2019-05-26 02:11:13	7600208	  -18.0	1
 2019-05-26 02:12:02	7628672	  -20.0	1
 2019-05-26 02:12:58	7661072	  -15.0	1
 2019-05-26 02:13:49	7690960	  -18.0	1
 2019-05-26 02:14:35	7717136	  -19.0	1
 2019-05-26 02:15:31	7749232	  -18.0	1
 2019-05-26 02:16:15	7774752	  -20.0	1
 2019-05-26 02:17:08	7805440	  -17.0	1
 2019-05-26 02:18:00	7835344	  -18.0	1
 2019-05-26 02:18:55	7867296	  -19.0	1
 2019-05-26 02:19:47	7897968	  -17.0	1
 2019-05-26 02:20:41	7929248	  -17.0	1
 2019-05-26 02:21:37	7960672	  -16.0	1
 2019-05-26 02:22:34	7992400	  -19.0	1
 2019-05-26 02:23:27	8023936	  -15.0	1
 2019-05-26 02:24:20	8054336	  -16.0	1
 2019-05-26 02:25:19	8088128	  -15.0	1
 2019-05-26 02:26:19	8122640	  -16.0	1
 2019-05-26 02:27:16	8155648	  -16.0	1
 2019-05-26 02:28:05	8184416	  -19.0	1
 2019-05-26 02:29:05	8218800	  -16.0	1
 2019-05-26 02:30:04	8253456	  -14.0	1
 2019-05-26 02:30:53	8281392	  -18.0	1
 2019-05-26 02:31:45	8311216	  -16.0	1
 2019-05-26 02:32:45	8346224	  -18.0	1
 2019-05-26 02:33:33	8374096	  -18.0	1
 2019-05-26 02:34:33	8408128	  -14.0	1
 2019-05-26 02:35:18	8434432	  -20.0	1
 2019-05-26 02:36:27	8473776	  -12.0	1
 2019-05-26 02:37:20	8504416	  -18.0	1
 2019-05-26 02:38:19	8538496	  -15.0	1
 2019-05-26 02:39:19	8572832	  -16.0	1
 2019-05-26 02:40:14	8604240	  -16.0	1
 2019-05-26 02:41:09	8636496	  -18.0	1
 2019-05-26 02:42:01	8666752	  -13.0	1
 2019-05-26 02:42:54	8697584	  -19.0	1
 2019-05-26 02:43:49	8729072	  -19.0	1
 2019-05-26 02:44:45	8760928	  -18.0	1
 2019-05-26 02:45:39	8791760	  -17.0	1
 2019-05-26 02:46:41	8827616	  -14.0	1
 2019-05-26 02:47:34	8858144	  -18.0	1
 2019-05-26 02:48:30	8890752	  -18.0	1
 2019-05-26 02:49:27	8923600	  -17.0	1
 2019-05-26 02:50:17	8952048	  -16.0	1
 2019-05-26 02:51:13	8984032	  -17.0	1
 2019-05-26 02:52:12	9018368	  -19.0	1
 2019-05-26 02:53:27	9060976	  -14.0	1
 2019-05-26 02:54:19	9091328	  -17.0	1
 2019-05-26 02:55:11	9121088	  -17.0	1
 2019-05-26 02:56:23	9161632	  -12.0	1
 2019-05-26 02:57:23	9196512	  -17.0	1
 2019-05-26 02:58:32	9236032	  -16.0	1
 2019-05-26 02:59:37	9273504	  -13.0	1
 2019-05-26 03:00:45	9312384	  -11.0	1
 2019-05-26 03:01:50	9349616	  -14.0	1
 2019-05-26 03:02:42	9379888	  -18.0	1
 2019-05-26 03:03:56	9422144	  -14.0	1
 2019-05-26 03:05:02	9459984	  -15.0	1
 2019-05-26 03:06:08	9497104	  -16.0	1
 2019-05-26 03:06:56	9525168	  -17.0	1
 2019-05-26 03:08:05	9564128	  -11.0	1
